Ne	ngen	s_true	init	method	pos_HDI	pos_den	strue	est
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0160663498895341
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00376306558655283
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00834419428901682
10000	100	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0196034654789235
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0141148578962149
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0116926693250832
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00596639985452659
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00501605747832949
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.011431679009047
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00676435414366671
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00242068715127807
10000	100	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0231348015491648
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00408968510507234
10000	100	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0260997282238177
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00103128378046301
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0117013088826584
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00575014720191314
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00274299408970216
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0104100830633798
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0128692494123761
10000	100	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0264460016796438
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00736376481434592
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00327649334594091
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00818962860636627
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.000747601955443258
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00296382914897519
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000796916153466023
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00967003877206114
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00336068398185513
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00182474538822009
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0170846423045893
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00195657604243622
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00432989143886655
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0121406276727755
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0115161806411215
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00255549581137743
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0116217546025161
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00284503104630826
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00982129019524797
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00934061586558852
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0049120421790231
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000697707522870654
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0109107996273575
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00161252685021074
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00553701906141813
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00424257576954775
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0133733810473781
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.000450231747343898
10000	100	0.005	0.1	slattice	FALSE	FALSE	FALSE	-0.0159009236369146
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0133748976875021
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0038161644456536
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00333627971635508
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00713976369788086
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0094508041262249
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00406240371361777
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0027830174822079
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00757100178881328
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00660370459875027
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0208013429626159
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0103862561127759
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0109660033263156
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0210428187552465
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00729434296322406
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0164850569805455
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0173446035946118
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000129727854257628
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0198496813376525
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00913510690340956
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000319048480967203
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0108713758186916
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.014917095708071
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00818719348657205
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000240865149124259
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0147331714363717
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0101561353862982
10000	100	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0193830704638551
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00822576432573308
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00561428647803071
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00122547461885664
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0045756664191459
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.012018714478809
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00300253056588567
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00528897000943629
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00837558648900821
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00123108903689304
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00466376375519126
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00163252894016432
10000	100	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0170340478882127
