method	Ne	init	s_true	nrep	npos	npos_den	ntrue	propPos	propPos_den	propTrue	rmse
slattice	10000	0.1	0.005	1000	54	54	952	0.054	0.054	0.952	0.00927817290143264
sr	10000	0.1	0.005	1000	6	29	643	0.006	0.029	0.643	0.00612642044789531
slattice	10000	0.1	0.01	1000	181	181	961	0.181	0.181	0.961	0.00887034141790474
sr	10000	0.1	0.01	1000	30	112	467	0.03	0.112	0.467	0.0106552255434607
slattice	10000	0.1	0	1000	43	43	957	0.043	0.043	0.957	0.00951766705133427
sr	10000	0.1	0	1000	0	5	1000	0	0.005	1	0.0017904473918291
slattice	10000	0.1	0.02	1000	681	681	948	0.681	0.681	0.948	0.00829635149112239
sr	10000	0.1	0.02	1000	211	498	584	0.211	0.498	0.584	0.0155997887978134
slattice	10000	0.1	0.03	1000	980	980	947	0.98	0.98	0.947	0.00804825672435938
sr	10000	0.1	0.03	1000	757	940	623	0.757	0.94	0.623	0.0138118355241185
slattice	10000	0.1	0.04	1000	1000	1000	948	1	1	0.948	0.00752288779672562
sr	10000	0.1	0.04	1000	987	999	472	0.987	0.999	0.472	0.0167482407391136
slattice	10000	0.1	0.05	1000	1000	1000	958	1	1	0.958	0.00704031004110958
sr	10000	0.1	0.05	1000	1000	1000	628	1	1	0.628	0.0282699692495145
slattice	10000	0.1	0.06	1000	1000	1000	959	1	1	0.959	0.00708005534036169
sr	10000	0.1	0.06	1000	1000	1000	733	1	1	0.733	0.0311509431412513
slattice	10000	0.1	0.07	1000	1000	1000	949	1	1	0.949	0.00726658808508463
sr	10000	0.1	0.07	1000	1000	1000	769	1	1	0.769	0.0310896803187363
slattice	10000	0.1	0.08	1000	1000	1000	948	1	1	0.948	0.00735491019768864
sr	10000	0.1	0.08	1000	1000	1000	667	1	1	0.667	0.0278624827697592
slattice	10000	0.1	0.09	1000	1000	1000	924	1	1	0.924	0.0081811055753135
sr	10000	0.1	0.09	1000	1000	1000	543	1	1	0.543	0.0277693649776057
slattice	10000	0.1	0.1	1000	1000	1000	926	1	1	0.926	0.00865716328992378
sr	10000	0.1	0.1	1000	1000	1000	321	1	1	0.321	0.0336690339629616
bmws	10000	0.1	0.005	1000	0	0	0	0	0	0	0.00893236004060517
bmws	10000	0.1	0.01	1000	0	0	0	0	0	0	0.00834278172973499
bmws	10000	0.1	0	1000	0	0	1000	0	0	1	0.00935419057957448
bmws	10000	0.1	0.02	1000	0	0	0	0	0	0	0.00770350168696029
bmws	10000	0.1	0.03	1000	0	0	0	0	0	0	0.00744972164755167
bmws	10000	0.1	0.04	1000	0	0	0	0	0	0	0.00682996889707413
bmws	10000	0.1	0.05	1000	0	0	0	0	0	0	0.00645119620620858
bmws	10000	0.1	0.06	1000	0	0	0	0	0	0	0.00656921340367323
bmws	10000	0.1	0.07	1000	0	0	0	0	0	0	0.0069120492267489
bmws	10000	0.1	0.08	1000	0	0	0	0	0	0	0.00710244636051551
bmws	10000	0.1	0.09	1000	0	0	0	0	0	0	0.00785224610267661
bmws	10000	0.1	0.1	1000	0	0	0	0	0	0	0.00808983399743159
approxwf	10000	0.1	0.005	1000	31	109	980	0.031	0.109	0.98	0.00785720591423295
approxwf	10000	0.1	0.01	1000	132	266	988	0.132	0.266	0.988	0.00789323422634509
approxwf	10000	0.1	0	1000	17	33	983	0.017	0.033	0.983	0.00800004479435133
approxwf	10000	0.1	0.02	1000	585	788	997	0.585	0.788	0.997	0.00784515427082917
approxwf	10000	0.1	0.03	1000	958	985	1000	0.958	0.985	1	0.00775071354815187
approxwf	10000	0.1	0.04	1000	1000	1000	998	1	1	0.998	0.00734698915109633
approxwf	10000	0.1	0.05	1000	1000	1000	1000	1	1	1	0.00686990512350569
approxwf	10000	0.1	0.06	1000	1000	1000	1000	1	1	1	0.00703874810770727
approxwf	10000	0.1	0.07	1000	1000	1000	1000	1	1	1	0.00744643784227588
approxwf	10000	0.1	0.08	1000	1000	1000	1000	1	1	1	0.00750186306556458
approxwf	10000	0.1	0.09	1000	1000	1000	1000	1	1	1	0.0081542495596479
approxwf	10000	0.1	0.1	1000	1000	1000	1000	1	1	1	0.0083506214248362
