Ne	ngen	s_true	init	method	pos_HDI	pos_den	strue	est
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00557507994303406
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00485866565593942
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00392239727390559
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00502565166649518
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00750858689988778
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0061301682835967
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00317367278657099
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0026275207946247
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00546250459419893
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00463645913359464
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00323048401135033
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00544145043265737
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0042419735645405
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00481060143151814
10000	500	0.005	0.1	slattice	FALSE	FALSE	FALSE	-0.00231879710822656
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00522102794632775
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00273260702983213
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000571726059994583
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00184532968522887
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00366254231500755
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00639446140748352
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00553607414328099
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00283712775553295
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00642393071483361
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00377511196681734
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00568658331377879
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00455440648365642
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00586848704788
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00876355475346922
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00539398013671784
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00351451032775414
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00443660387982744
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00383151711980814
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00259511454032521
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00353565604529945
10000	500	0.005	0.1	slattice	TRUE	TRUE	FALSE	0.00978608982965796
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00230627812790031
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00580644068199473
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00575342905162901
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00196999102184325
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00759513391404582
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00561895450096626
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00419255822902884
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00590584906143003
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00292630966818582
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0088747168320333
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0059399064142507
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00526955533324455
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00294837900713758
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00595501955419557
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0046663787174158
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00509671521632862
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00570727174985953
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00467271224373626
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00467020992779855
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00497660582150192
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000952822605545053
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00639653933399704
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00505709000916549
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00311927565830078
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00902623226454545
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00758472905029947
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00389657613367356
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0050795664537082
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00673367735559297
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00636743407211323
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00313959330349886
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0056927309691006
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00239463563097997
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00519824865724495
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00113771278695259
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00746002769747615
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00359172704641294
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00318058962546763
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00471830581198228
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.004709716367203
10000	500	0.005	0.1	slattice	TRUE	TRUE	FALSE	0.00946021554591304
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00520224631589316
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00528791545128137
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00404821894685958
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00811707184870908
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00213819315154297
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00633069863761069
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00551585430375356
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00278462335327529
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00389881191987597
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00571559585174811
10000	500	0.005	0.1	slattice	FALSE	FALSE	FALSE	-0.00251726620227879
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00338336878617683
10000	500	0.005	0.1	slattice	TRUE	TRUE	FALSE	0.00889194802783308
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00702089927668957
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00941883419827961
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000983448257519166
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00355591829050869
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0079183638692974
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00229715940767651
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00891463386675059
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00509227188892237
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00547162336461356
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00723249828548525
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00555674787473325
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00357978755022487
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00613584640281661
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00185735803100143
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00220981014343222
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00787321846053953
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00134012768599189
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00542724226858475
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00512424946933445
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0084972529531271
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00104471838513215
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00307906136988098
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00837336606408614
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00535369868768484
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00184810471726788
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00550825349094728
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00743497933371435
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00896623500428182
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00596686415278185
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00467060097009599
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00614237648472349
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00764446134700968
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00571550195532124
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00485641922796364
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00573819303218562
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00202664665605252
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00298565058497815
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00263775361299502
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00444424441309525
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00620201299391883
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00665523300361887
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00417056445041963
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000645884466876401
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00822239618996567
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00379392755950953
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00487968199804472
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00317776538543003
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00618593918517845
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0029391537930643
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00304729456093187
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00222019280175046
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00196977529046921
10000	500	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.000721600278240564
10000	500	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00474375443912141
