method	Ne	init	s_true	nrep	npos	npos_den	ntrue	propPos	propPos_den	propTrue	rmse
slattice	10000	0.1	0.005	1000	534	534	965	0.534	0.534	0.965	0.0023394038029452
sr	10000	0.1	0.005	1000	316	581	759	0.316	0.581	0.759	0.0036370820552272
slattice	10000	0.1	0.01	1000	989	989	945	0.989	0.989	0.945	0.00199142255422413
sr	10000	0.1	0.01	1000	981	990	932	0.981	0.99	0.932	0.00212201705488212
slattice	10000	0.1	0.02	1000	1000	1000	889	1	1	0.889	0.00206581408838013
sr	10000	0.1	0.02	1000	1000	1000	912	1	1	0.912	0.00209140741856252
slattice	10000	0.1	0	1000	34	34	966	0.034	0.034	0.966	0.00299158414692584
sr	10000	0.1	0	1000	2	9	998	0.002	0.009	0.998	0.000456970882819361
slattice	10000	0.1	0.03	1000	1000	1000	885	1	1	0.885	0.00290228479565603
sr	10000	0.1	0.03	1000	1000	1000	796	1	1	0.796	0.00385607681111738
slattice	10000	0.1	0.04	1000	1000	1000	908	1	1	0.908	0.0039346785538291
sr	10000	0.1	0.04	1000	1000	1000	699	1	1	0.699	0.00576155477369382
slattice	10000	0.1	0.05	1000	1000	1000	937	1	1	0.937	0.00518038812171353
sr	10000	0.1	0.05	1000	1000	1000	273	1	1	0.273	0.0127904380087309
slattice	10000	0.1	0.06	1000	1000	1000	954	1	1	0.954	0.00697992487499617
sr	10000	0.1	0.06	1000	1000	1000	93	1	1	0.093	0.0227162426852142
slattice	10000	0.1	0.07	1000	1000	1000	957	1	1	0.957	0.00951016496862206
sr	10000	0.1	0.07	1000	1000	1000	37	1	1	0.037	0.0334227892393667
slattice	10000	0.1	0.08	1000	1000	1000	967	1	1	0.967	0.0121793100993827
sr	10000	0.1	0.08	1000	998	1000	4	0.998	1	0.004	0.0445426562206576
slattice	10000	0.1	0.09	1000	1000	1000	989	1	1	0.989	0.0155911261761309
sr	10000	0.1	0.09	1000	1000	1000	0	1	1	0	0.055800649150173
slattice	10000	0.1	0.1	1000	1000	1000	994	1	1	0.994	0.0205386105992942
sr	10000	0.1	0.1	1000	997	1000	0	0.997	1	0	0.0670324392911538
bmws	10000	0.1	0.005	1000	0	0	0	0	0	0	0.00261479523309188
bmws	10000	0.1	0.01	1000	0	0	0	0	0	0	0.0021953385645499
bmws	10000	0.1	0.02	1000	0	0	0	0	0	0	0.00268992253866166
bmws	10000	0.1	0	1000	0	0	1000	0	0	1	0.00343000611078173
bmws	10000	0.1	0.03	1000	0	0	0	0	0	0	0.00286134776372953
bmws	10000	0.1	0.04	1000	0	0	0	0	0	0	0.00832435783979761
bmws	10000	0.1	0.05	1000	0	0	0	0	0	0	0.0153132262385821
bmws	10000	0.1	0.06	1000	0	0	0	0	0	0	0.0225896862912923
bmws	10000	0.1	0.07	1000	0	0	0	0	0	0	0.0297555841352678
bmws	10000	0.1	0.08	1000	0	0	0	0	0	0	0.0372468321381161
bmws	10000	0.1	0.09	1000	0	0	0	0	0	0	0.0447593944704349
bmws	10000	0.1	0.1	1000	0	0	0	0	0	0	0.0523054067127673
approxwf	10000	0.1	0.005	1000	543	694	978	0.543	0.694	0.978	0.00228957420869696
approxwf	10000	0.1	0.01	1000	989	995	988	0.989	0.995	0.988	0.0019823366133158
approxwf	10000	0.1	0.02	1000	1000	1000	1000	1	1	1	0.00221623682593226
approxwf	10000	0.1	0	1000	29	36	971	0.029	0.036	0.971	0.00278986370648147
approxwf	10000	0.1	0.03	1000	1000	1000	1000	1	1	1	0.00336807409315728
approxwf	10000	0.1	0.04	1000	1000	1000	1000	1	1	1	0.00458579084547524
approxwf	10000	0.1	0.05	1000	1000	1000	999	1	1	0.999	0.00612617999387839
approxwf	10000	0.1	0.06	1000	1000	1000	1000	1	1	1	0.00777607229568244
approxwf	10000	0.1	0.07	1000	1000	1000	999	1	1	0.999	0.00991273793231269
approxwf	10000	0.1	0.08	1000	1000	1000	1000	1	1	1	0.0118811421890699
approxwf	10000	0.1	0.09	1000	1000	1000	1000	1	1	1	0.0130984653875804
approxwf	10000	0.1	0.1	1000	1000	1000	1000	1	1	1	0.0153898450416152
