Ne	ngen	s_true	init	method	pos_HDI	pos_den	strue	est
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00586012601010653
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00467413822685213
10000	1000	0.005	0.1	slattice	FALSE	FALSE	FALSE	0.00113695218453426
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00449542741911565
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00406384818457441
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00419741317713767
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00442861189258646
10000	1000	0.005	0.1	slattice	TRUE	TRUE	FALSE	0.00716271476458415
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00384480469954077
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00629272821045189
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00516861848758725
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00382826522619537
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00602311738367473
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00466353211431805
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00538924178620305
10000	1000	0.005	0.1	slattice	TRUE	TRUE	FALSE	0.00738601306010982
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00467448643074032
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00465389121228314
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00540611914905601
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00433025681022196
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00590528516313402
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00435284237227395
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00420102343160275
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00516524125431279
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00527787530549971
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00541021484852321
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00334899369234126
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00636160990203157
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0044573867313257
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.0047743306600064
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00404720645986109
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00644459587151733
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00479936957330086
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00482021509272296
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00457350798936417
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00382084641057599
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00383531623137259
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00492675084689622
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00480183705848442
10000	1000	0.005	0.1	slattice	TRUE	TRUE	FALSE	0.00714731502268899
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00664436871617593
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00449375476583254
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00604735449276774
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00619265834039021
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00532696556546395
10000	1000	0.005	0.1	slattice	FALSE	FALSE	FALSE	0.00177981143465573
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00682209959453228
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00509289603343323
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00632451925528118
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00373302495417658
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00660392063899622
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00503445766415386
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00633980362843685
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00589659899423287
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00706746996048704
10000	1000	0.005	0.1	slattice	TRUE	TRUE	TRUE	0.00453036962187497
