method	Ne	init	s_true	nrep	npos	npos_den	ntrue	propPos	propPos_den	propTrue	rmse
slattice	10000	0.1	0.005	1000	942	942	947	0.942	0.942	0.947	0.0013463603195503
sr	10000	0.1	0.005	1000	865	952	895	0.865	0.952	0.895	0.00177226731359314
slattice	10000	0.1	0.01	1000	1000	1000	886	1	1	0.886	0.00132858072168691
sr	10000	0.1	0.01	1000	1000	1000	914	1	1	0.914	0.00144305503337908
slattice	10000	0.1	0.02	1000	1000	1000	877	1	1	0.877	0.0022135350954949
sr	10000	0.1	0.02	1000	1000	1000	904	1	1	0.904	0.00239510677080877
slattice	10000	0.1	0.03	1000	1000	1000	905	1	1	0.905	0.00359687474447082
sr	10000	0.1	0.03	1000	1000	1000	676	1	1	0.676	0.00528389077463154
slattice	10000	0.1	0	1000	26	26	974	0.026	0.026	0.974	0.0019639823131357
sr	10000	0.1	0	1000	0	4	1000	0	0.004	1	0.000217056532809663
slattice	10000	0.1	0.04	1000	1000	1000	961	1	1	0.961	0.00560700959584697
sr	10000	0.1	0.04	1000	1000	1000	69	1	1	0.069	0.0131745232811527
slattice	10000	0.1	0.05	1000	1000	1000	989	1	1	0.989	0.00896139414004625
sr	10000	0.1	0.05	1000	994	1000	23	0.994	1	0.023	0.0235658439792512
slattice	10000	0.1	0.06	1000	1000	1000	995	1	1	0.995	0.0150498992397837
sr	10000	0.1	0.06	1000	998	1000	4	0.998	1	0.004	0.0363226754628177
slattice	10000	0.1	0.07	1000	1000	1000	997	1	1	0.997	0.020747895804068
sr	10000	0.1	0.07	1000	974	1000	0	0.974	1	0	0.0499972444528001
slattice	10000	0.1	0.08	1000	1000	1000	998	1	1	0.998	0.026764377913076
sr	10000	0.1	0.08	1000	872	1000	0	0.872	1	0	0.0657246416194921
slattice	10000	0.1	0.09	1000	1000	1000	997	1	1	0.997	0.0360874730015869
sr	10000	0.1	0.09	1000	696	1000	0	0.696	1	0	0.0812895138715696
slattice	10000	0.1	0.1	1000	995	995	999	0.995	0.995	0.999	0.0452058331685343
sr	10000	0.1	0.1	1000	450	1000	0	0.45	1	0	0.0954806487743863
bmws	10000	0.1	0.005	1000	0	0	0	0	0	0	0.00151892381704943
bmws	10000	0.1	0.01	1000	0	0	0	0	0	0	0.00192083094492982
bmws	10000	0.1	0.02	1000	0	0	0	0	0	0	0.00290930330783849
bmws	10000	0.1	0.03	1000	0	0	0	0	0	0	0.00524194910124087
bmws	10000	0.1	0	1000	0	0	1000	0	0	1	0.00255256676660964
bmws	10000	0.1	0.04	1000	0	0	0	0	0	0	0.00749875169384878
bmws	10000	0.1	0.05	1000	0	0	0	0	0	0	0.0110559124369271
bmws	10000	0.1	0.06	1000	0	0	0	0	0	0	0.0161070052569061
bmws	10000	0.1	0.07	1000	0	0	0	0	0	0	0.0207768179128807
bmws	10000	0.1	0.08	1000	0	0	0	0	0	0	0.0252034480902911
bmws	10000	0.1	0.09	1000	0	0	0	0	0	0	0.0335204939279689
bmws	10000	0.1	0.1	1000	0	0	0	0	0	0	0.0424523809022297
approxwf	10000	0.1	0.005	1000	947	971	978	0.947	0.971	0.978	0.0013474987146183
approxwf	10000	0.1	0.01	1000	1000	1000	998	1	1	0.998	0.00141266723499974
approxwf	10000	0.1	0.02	1000	1000	1000	1000	1	1	1	0.00265958996710258
approxwf	10000	0.1	0.03	1000	1000	1000	1000	1	1	1	0.00450007808993336
approxwf	10000	0.1	0	1000	21	28	979	0.021	0.028	0.979	0.00182401285767377
approxwf	10000	0.1	0.04	1000	1000	1000	1000	1	1	1	0.0070469495900895
approxwf	10000	0.1	0.05	1000	1000	1000	999	1	1	0.999	0.0114803784700968
approxwf	10000	0.1	0.06	1000	1000	1000	1000	1	1	1	0.0187908987421643
approxwf	10000	0.1	0.07	1000	1000	1000	1000	1	1	1	0.0225628553451234
approxwf	10000	0.1	0.08	1000	1000	1000	1000	1	1	1	0.0193778216668761
approxwf	10000	0.1	0.09	1000	997	1000	1000	0.997	1	1	0.0165455626383582
approxwf	10000	0.1	0.1	1000	975	996	1000	0.975	0.996	1	0.0230579224468422
