Ne	ngen	s_true	init	method	pos_HDI	pos_den	strue	est
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.00392229434421156
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0264445574740748
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0130174478812818
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.000203347779482354
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0129871083745683
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00868946663433965
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0251469794151102
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0145078589263587
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0253037237603555
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0103275589075468
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0278160612710744
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0243691232186766
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0283139913124325
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0354068483405173
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0181635571842156
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00967038762012654
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00738461003165265
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0118059628147345
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00872251820981709
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0259118136994373
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0285842064673753
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0113305055838946
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.021688929384135
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0198410828123374
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0173760221293487
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0111024803861433
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0195523779742791
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0262735748509289
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0107269289356397
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0154857571939685
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0104273499320746
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00654702959662117
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0065982538451455
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0176646936943416
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0251288993199347
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0286719543835201
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0128473969359789
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0135439151386332
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0260375837887584
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0271265189638961
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0251006007478786
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.024221762638992
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0209520939500225
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.000148229367348749
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0132731093328021
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00889390090415635
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.014209191014085
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.029404897476029
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0026512027088634
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0171185207517345
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0148039053018733
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0236980539695148
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0292470867487079
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00949145952431588
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0213458998738585
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0228659446611445
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0451024261995656
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0244586156804192
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0185024111108919
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0161386136821547
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00803407044484465
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0224460021849404
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0185943163666629
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0136001350137978
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00603964922165982
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0177729614017587
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0195374225247426
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00512318414284529
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0166726681803502
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0223387392812291
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0147689220652508
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0226882777009398
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0138634361965583
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0194461544017759
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0197381204166274
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0153824448452279
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0322798552793185
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0128898448532497
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0113474553251911
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0236678845793847
10000	340	0.005	0.1	slattice	FALSE	FALSE	FALSE	-0.0379596513545221
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0276829530977556
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0136525555031404
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0352189001104368
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00938049471648429
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0239779138567725
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0153811615823827
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0145730252712012
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0134720596410042
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.012948938397116
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00642509649680894
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00830372576143391
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.018896822961684
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0184902895615122
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.016944661147498
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0268833973137679
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0333957783255657
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0140758019757749
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0170701204776009
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0186503301279034
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0247267122921748
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0215589759764868
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0213876459429342
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0273299471500228
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0243590604422581
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00962276782680381
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0142619493518043
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0063188613595908
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0152808835421429
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0228128650850975
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00493098121025267
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0234948918304449
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0265118524088913
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0171184124949087
10000	340	0.005	0.1	slattice	TRUE	TRUE	FALSE	-0.034464288467687
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0201125118439657
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00880676665238781
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0308496763776139
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00744842414695726
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0206832901920818
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0174762064726958
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0261063553930876
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0237933895788315
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0218596138581954
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0134117777958658
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0144466761896362
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0284011026962995
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0167243707343831
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0243827773294961
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0194895986140576
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0190863526646516
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00962145311720773
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0175472682105045
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00509593093133603
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0157054453844199
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0100525391089892
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0225983164677094
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00978479584364047
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00374840859111185
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0101041749336813
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.016833831267137
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0190868976381571
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0109002482458673
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00591979462596136
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0273302604508329
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0260263300156942
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00957957738578967
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0219737094146197
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0115448889942781
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0151408023256021
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.02201987447068
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00907046866847623
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0193898391673471
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00843968040131132
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0116330024464813
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00810258738796506
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0267830940571409
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0239186271882552
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0327765825441861
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0185321759192248
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0464061633489291
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0381193250472357
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0261514325181392
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0137395404218476
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0245051003219758
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00927797234376725
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0166294927815107
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0134385152506031
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0514611703355493
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.0161890441839502
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00808707974010158
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	-0.0351684067798384
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.00729891445000536
10000	340	0.005	0.1	slattice	FALSE	FALSE	TRUE	0.023604372282909
10000	340	0.005	0.1	slattice	TRUE	TRUE	FALSE	-0.079977188264327
